id,smiles
CHEMBL194077,C[C@]12Cc3cnn(c3C=C1CCC[C@@H]2[C@@H](O)c4cc(Cl)sc4Cl)c5ccc(F)cc5
CHEMBL66598,CCOc1cccc2OC(c3ccccc3)c4cc(NS(=O)(=O)C)ccc4c12
CHEMBL1682431,C[C@@H]1[C@@H](O)C(C)(C)Nc2c(C)c(Cl)c(cc12)c3cccc4cc[nH]c34
CHEMBL1682436,C[C@@H]1[C@@H](O)C(C)(C)Nc2c(F)cc(c(Cl)c12)c3cccc4cc[nH]c34
CHEMBL1682437,C[C@@H]1[C@@H](O)C(C)(C)Nc2c(F)c(F)c(cc12)c3cccc4cc[nH]c34
CHEMBL228878,CC\C=C\COC(C)C1=CC(C)(C)Nc2ccc(cc12)c3ccccc3OC
CHEMBL539699,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CSCCNC(=S)NCCCN(C)CCCNC(=O)CCNC(=O)c5cc(NC(=O)c6nccn6C)cn5C
CHEMBL4059755,C[C@H](NC(=O)C(C)(F)F)[C@H](Oc1ccc2c(cnn2c3cccc(c3)C(=O)N[C@@H]4CCOC4=O)c1)c5ccccc5
CHEMBL2419300,CC1NC(=O)C(=C1c2cc(Cl)c3OCC(=O)Nc3c2)c4ccc(F)cc4
CHEMBL50118,COc1cccc2OC(CC=C(F)F)c3c(ccc4NC(C)(C)C=C(C)c34)c12
CHEMBL553019,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CSCCNC(=S)NCCNC(=O)C
CHEMBL553018,C[C@H]1C[C@@H]2[C@H]3CCC4=CC(=O)C=C[C@@]4(C)[C@]3(F)[C@H](O)C[C@@]2(C)[C@]1(O)C(=O)CSCCNC(=S)NCCNC(=O)c5cc(NC(=O)c6cc(NC(=O)c7cc(NC(=O)c8cc(NC(=O)CCCNC(=O)c9cc(NC(=O)c%10cc(NC(=O)c%11nccn%11C)cn%10C)cn9C)cn8C)cn7C)cn6C)cn5C
CHEMBL3582112,Cc1onc(C)c1c2cc3c(NC(C)(C)C(=O)C3(C)C)c4CCCc24
CHEMBL3578284,C[C@@H](N1C(=O)O[C@@](Cc2ccccc2)(C1=O)c3nc4cc(ccc4[nH]3)c5conc5C)c6ccc(F)cc6
CHEMBL221545,COc1cc(cc(OC)c1OC)[C@H]2C[C@@]3(C)[C@@H](CC[C@@]3(O)C#CC)[C@@H]4CCC5=CC(=O)CCC5=C24
CHEMBL429627,COc1ccc(F)cc1C(C)(C)CC(O)(Cc2ccc(Cl)cc2)C(F)(F)F
CHEMBL386806,CC1=NOC(=O)c2ccc(NC(=O)C(O)(CC3CCCc4cccc(F)c34)C(F)(F)F)cc12
CHEMBL3666810,C[C@H](NC(=O)C(C)(F)F)[C@H](Oc1ccc2c(cnn2c3cccc(c3)C(=O)N[C@H]4CCOC4)c1)c5ccc6COCOc6c5
CHEMBL379158,CC1=NOC(=O)c2ccc(NC(=O)C(O)(CC3CCCc4c(cccc34)C#N)C(F)(F)F)cc12
CHEMBL457036,CC[C@@]12CC[C@@](O)(C[C@H]1CCc3cc(OCc4cccnc4C)ccc23)C#CC
CHEMBL3927299,CC(C)C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(ccc4[C@H]3[C@@H](O)C[C@]12C)C(=O)Nc5cccnc5C
CHEMBL228610,COc1ccccc1c2ccc3NC(C)(C)C=C(C(C)OCC=C)c3c2
CHEMBL228611,CCC(OCC=C)C1=CC(C)(C)Nc2ccc(cc12)c3ccccc3OC
CHEMBL62227,CC1=CC(C)(C)Nc2ccc3c(COc4c(F)cc(cc34)C#N)c12
CHEMBL1062,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
CHEMBL1917247,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CSc5nc6ccccc6s5
CHEMBL1917244,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CSc5nc6ccccc6s5
CHEMBL1917245,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CSc5nc6ccccc6s5
CHEMBL303071,COc1cccc2OC(C3CCCCC3)c4cc(NS(=O)(=O)C)ccc4c12
CHEMBL189843,CC1=NOC(=O)c2ccc(NC(=O)C(O)(CC3CCCCc4ccccc34)C(F)(F)F)cc12
CHEMBL560797,CCN(CC(O)(CNc1cc(C)cc2c1cnn2c3ccccc3)C(F)(F)F)C(=O)c4ccccc4F
CHEMBL1668068,C[C@@H](CNc1cc(C)cc2c1cnn2c3ccc(cc3)C#N)NS(=O)(=O)c4c(C)cc(C)cc4C
CHEMBL457242,CC[C@@]12[C@H](O)C[C@@](O)(C[C@H]1CCc3cc(O)ccc23)C#CC
CHEMBL3094467,CC[C@@H](Cc1ccc(O)c(C)c1)NS(=O)(=O)c2c(C)cc(C)cc2C
CHEMBL388462,CC(Cc1c[nH]c2ccccc12)NS(=O)(=O)c3ccc(C)cc3
CHEMBL1254264,COc1ccc(cc1C(C)(C)C[C@@](O)(Cc2cc3ccncc3[nH]2)C(F)(F)F)c4cncnc4
